Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
5-clear-barrel-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/14-M-45%C2%B0-Barrel-Ash-Catcher-AC.png,4,,,,,,,,,,,,,,,,,,,,,,,
5-clear-barrel-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/14-M-45%C2%B0-Barrel-Ash-Catcher-Clear.png,5,,,,,,,,,,,,,,,,,,,,,,,
4-encore-turbine-ash-catcher,4″ ENCORE TURBINE ASH CATCHER,"<p>The 4″ Encore Turbine Ash Catcher is a compact glass add-on built for people who are tired of dirty water pipes and harsh hits. It’s ideal if you’re running a favorite daily driver and want smoother pulls plus way less gunk in your main piece. At just 4 inches (102mm) tall with a turbine perc, it adds legit filtration without making your setup feel huge or clunky.</p><p>This ash catcher is a nice sweet spot: big upgrade in function, small footprint on your table. If you like your glass clean, your hits cooler, and your bong or rig doing less of the dirty work, this is the kind of accessory that earns its keep fast.</p>

<h2>Why It Works</h2>
<ul>
<li>
<strong>Smoother, cooler hits</strong> — The turbine perc spins your smoke through water, creating a vortex that adds extra diffusion without dragging your pull.</li>
<li>
<strong>Keeps your main piece cleaner</strong> — Ash and debris get trapped in the catcher instead of baking into the downstem or base of your bong.</li>
<li>
<strong>No awkward, top-heavy setup</strong> — At 4 inches (102mm), it adds function without turning your rig into a skyscraper.</li>
<li>
<strong>Doubles as a mini pre-cooler</strong> — The extra water chamber cools things down before smoke even hits your main perc.</li>
<li>
<strong>Dialed-in fit for angled joints</strong> — 45° joint angle makes it a natural match for classic beaker and tube-style water pipes.</li>
<li>
<strong>Built from real borosilicate</strong> — Heat-resistant glass that can actually hang with daily seshes if you treat it right.</li>
<li>
<strong>Clean look with color accents</strong> — Color logo options let you match or contrast your favorite setup without going over the top.</li>
</ul>

<h2>Best For</h2>
<p>This ash catcher is made for people who actually use their glass and don’t want to scrub it every other day. If you’re constantly pulling your downstem to rinse out resin and chunks, dropping a turbine catcher in front is a simple fix. It’s also a smart upgrade if you’ve got a favorite piece from your main <a href=""https://oilslickpad.com/collections/smoke-shop-products"">smoke shop gear</a> lineup and want to stretch its lifespan instead of replacing it.</p>
<p>Because it’s compact, it works especially well for folks who keep their piece on a desk, nightstand, or small coffee table where huge accessories just get in the way or risk getting knocked over.</p>

<h2>How to Use It</h2>
<p>Using the 4"" Encore Turbine Ash Catcher is straightforward: it sits between your bowl and your water pipe and does the dirty work before anything hits your main chamber. Just slide the male joint of the ash catcher into the female joint on your piece, then put your bowl into the joint on the catcher.</p>
<p>Add a little water to cover the slits of the turbine perc, but don’t overfill — you want that spinning action, not splashback. When you pull, smoke or vapor will hit the turbine first, spin through the water in a vortex, and then move on to your main piece already cooled and partially cleaned up. Set the whole setup on a solid surface like a nonstick <a href=""https://oilslickpad.com/collections/dabbing"">dab mat</a> if you’re clumsy or working in a crowded space.</p>
<p>Between seshes, you can quickly dump the water from the ash catcher instead of having to rinse your entire bong or rig every time. That’s really where this piece shines — it takes the abuse so your main glass doesn’t have to.</p>

<h2>Specs</h2>
<table>
<tr>
  <th>Brand</th>
  <td>Encore (Wyn Brands)</td>
</tr>
<tr>
  <th>Type</th>
  <td>Glass ash catcher</td>
</tr>
<tr>
  <th>Height</th>
  <td>4 inches (102mm)</td>
</tr>
<tr>
  <th>Material</th>
  <td>Borosilicate glass</td>
</tr>
<tr>
  <th>Joint Size Options</th>
  <td>14mm or 18mm</td>
</tr>
<tr>
  <th>Joint Angle</th>
  <td>45°</td>
</tr>
<tr>
  <th>Perc Style</th>
  <td>Turbine perc</td>
</tr>
<tr>
  <th>Logo/Color</th>
  <td>Multiple color decals (varies by unit)</td>
</tr>
</table>

<h2>Fit &amp; Compatibility</h2>
<p>This 4"" Encore Turbine Ash Catcher is designed for water pipes with a 45° female joint in either 14mm or 18mm size. As long as your piece matches the joint size and angle, it should plug right in and sit naturally without leaning too far forward or back.</p>
<p>If you’re pairing it with other glass or a favorite bowl you already own, just double-check that both the size (14mm vs 18mm) and the angle (45° vs 90°) are correct. A 45° ash catcher on a 90° upright joint will sit weird and can feel unstable — that’s the one thing you really want to avoid.</p>

<h2>Cleaning &amp; Care</h2>
<p>Since this catches most of your ash and reclaim, regular light cleaning goes a long way. Let it cool down, then empty the water and rinse. For a deeper reset, soak it in isopropyl alcohol, rinse with warm water, and let it dry before using again.</p>
<p>If you’re working with sticky concentrates around your setup, pairing it with proper <a href=""https://oilslickpad.com/collections/storage-packaging"">storage and packaging</a> for your material can help keep spills and drips off your glass in the first place.</p>

<h2>FAQ</h2>
<ul>
<li>
<strong>Will this fit my bong or rig?</strong><br>
If your piece has a 45° female joint in 14mm or 18mm, you’re good. Just match the joint size: 14mm catcher for 14mm joint, 18mm for 18mm. If your joint is a straight 90°, look for a 90° ash catcher instead so it sits level.</li>

<li>
<strong>Is a 4"" ash catcher big enough to make a difference?</strong><br>
Yes — the height isn’t what does the work here, the turbine perc does. That spinning diffusion plus the extra water chamber is plenty to cool and clean up your hit, especially if your main piece already has a perc inside.</li>

<li>
<strong>Do I need a special bowl for this?</strong><br>
No special bowl is required as long as it matches the joint size on the ash catcher (14mm or 18mm). If you’re building out a full setup from scratch, you can grab bowls or even <a href=""https://oilslickpad.com/collections/dab-tools-dabbers"">dab tools</a> that match your joint size so everything plays nice.</li>

<li>
<strong>How much water should I put in it?</strong><br>
You only need enough water to cover the turbine slits so the smoke can spin and diffuse. Too much water can cause splashback or restrict airflow. Start low, pull a test draw, and adjust by feel.</li>

<li>
<strong>Does this work for both flower and concentrates?</strong><br>
Yes. It doesn’t care what you’re running through it — flower bowls, bangers, or anything else that fits the joint size. Many people use turbine ash catchers on their flower tubes, but it can absolutely sit in front of a small rig as long as the angle and joint size line up with your setup or <a href=""https://oilslickpad.com/collections/silicone-smoking-devices"">silicone bongs and rigs</a>.</li>

<li>
<strong>How fragile is it?</strong><br>
It’s made from borosilicate glass, which handles heat and normal use well, but it’s still glass. Treat it like the rest of your good pieces: avoid hard knocks, don’t let it tip over on a hard surface, and be careful when taking bowls in and out.</li>

<li>
<strong>What’s the point of a turbine perc vs a basic downstem perc?</strong><br>
A simple downstem just pushes smoke through a few slits or holes; the turbine is shaped to spin your smoke through the water, which increases contact and cooling without feeling super chuggy. If you’re already into percs and recyclers, think of this as an extra mini stage of function before everything hits your main glass or <a href=""https://oilslickpad.com/collections/concentrate-jars"">concentrate jars</a> area on the table.</li>
</ul>
<!-- WYN_METADATA
Categories_URL=https://wyndistribution.com/best-selling-products/, https://wyndistribution.com/product-category/essentials-and-accessories/, https://wyndistribution.com/product-category/essentials-and-accessories/ash-catchers/
URL=https://wyndistribution.com/wyn-shop/product/4-encore-turbine-ash-catcher/
Product_URL=https://wyndistribution.com/wyn-shop/product/4-encore-turbine-ash-catcher/
Category=WYN BRANDS
Category_URL=https://wyndistribution.com/product-category/wyn-brands/
Categories=Ash Catchers, Encore
RawPrice=$14.00
VariantsRaw=Size					 									 			 			 				 				14 M 45°  							,  				14 M 90°  							,  				18 M 45°  							,  				18 M 90°
-->",What You Need,,Wyn Brands,"family:ash-catcher, joint_angle:45, joint_gender:female, joint_size:14mm, length:4in, material:borosilicate, material:glass, pillar:accessory, style:animal, style:brand-highlight, use:flower-smoking, use:setup-protection",true,Size,14 M 45°,,,,,,,,EC-A14-14M45,0.0,,deny,manual,14.00,,true,true,,,,,,https://wyndistribution.com/wp-content/uploads/2023/10/EC-A14-14M90.png,1,4″ ENCORE TURBINE ASH CATCHER,false,4″ ENCORE TURBINE ASH CATCHER,4” Glass Ash Catcher Produced by Encore Color Logo Decal Turbine Perc Multiple Colors Available 14 M 45° | 14 M 90° | 18 M 45° | 18 M 90°,,,,,,,,,,,,,,,,lb,,28.00,active
4-encore-turbine-ash-catcher,,,,,,,,,14 M 90°,,,,,,,,EC-A14-14M90,0.0,,deny,manual,14.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,28.00,
4-encore-turbine-ash-catcher,,,,,,,,,18 M 45°,,,,,,,,EC-A14-18M45,0.0,,deny,manual,14.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,28.00,
4-encore-turbine-ash-catcher,,,,,,,,,18 M 90°,,,,,,,,EC-A14-18M90,0.0,,deny,manual,14.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,28.00,
4-encore-turbine-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/10/EC-A14-18-M-45%C2%B0-Teal.png,2,,,,,,,,,,,,,,,,,,,,,,,
4-encore-turbine-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/10/A14-14-M-45%C2%B0-Red.png,3,,,,,,,,,,,,,,,,,,,,,,,
4-encore-turbine-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/10/EC-A14-18-M-90%C2%B0-Purple.png,4,,,,,,,,,,,,,,,,,,,,,,,
4-encore-turbine-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/10/IMG_7994.2-scaled-150x100.png,5,,,,,,,,,,,,,,,,,,,,,,,
4-encore-turbine-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/10/IMG_8075.2-scaled-150x100.png,6,,,,,,,,,,,,,,,,,,,,,,,
4-encore-turbine-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/10/20240418_085702.2-scaled-150x113.png,7,,,,,,,,,,,,,,,,,,,,,,,
4-encore-turbine-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/10/20240418_085713.2-scaled-150x113.png,8,,,,,,,,,,,,,,,,,,,,,,,
4-encore-turbine-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/10/20240418_084726.2-scaled-150x113.png,9,,,,,,,,,,,,,,,,,,,,,,,
4-encore-turbine-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/10/20240418_084753.2-scaled-150x113.png,10,,,,,,,,,,,,,,,,,,,,,,,
4-encore-turbine-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/10/20240418_084807.2-scaled-150x113.png,11,,,,,,,,,,,,,,,,,,,,,,,
4-encore-turbine-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/10/20240418_084830.2-scaled-150x113.png,12,,,,,,,,,,,,,,,,,,,,,,,
3-14-m-90-rainbow-swirl-ash-catcher,3″ 14 M 90° RAINBOW SWIRL ASH CATCHER,"<p>The 3"" 14mm 90° Rainbow Swirl Ash Catcher is a compact glass add-on built for bong lovers who are tired of scrubbing dirty downstems after every bowl. It’s made for people who want smoother, cleaner hits and a rig that actually stays clear longer. At just 3 inches (76mm) with a 14mm male, 90° joint, it adds filtration and color without turning your setup into a clunky science project.</p><h2>Why You’ll Actually Use This</h2><ul>
<li>
<strong>Way less gunk in your bong</strong> — Catches ash and debris before it ever touches your main piece, so your water and glass stay cleaner way longer.</li>
<li>
<strong>Smoother, less harsh pulls</strong> — Extra filtration cools things down a bit and keeps burnt particles out of the hit.</li>
<li>
<strong>Small but mighty upgrade</strong> — Short 3"" (76mm) body gives you the benefits of an ash catcher without making your setup front-heavy.</li>
<li>
<strong>Rainbow swirl that actually pops</strong> — Colorful glass that stands out on the shelf and makes clear pieces look way less boring.</li>
<li>
<strong>Easy on / easy off</strong> — Simple 14mm male, 90° joint slides into most standard bongs that use a 90° 14mm female joint.</li>
<li>
<strong>Faster cleanups</strong> — It’s always easier to rinse a small ash catcher than deep-clean your favorite tube every other day.</li>
</ul><h2>Best For</h2><p>This piece is made for daily drivers who love their glass but hate deep-clean days. If you’re running a compact bong or rig with a 14mm female, 90° joint and want just a bit more filtration and a lot less mess, this is the kind of accessory that quietly becomes part of your permanent setup. It’s also a great pick if you’re starting to upgrade your kit beyond basics and want something more fun than plain clear glass before you dive into full silicone <a href=""https://oilslickpad.com/collections/silicone-smoking-devices"">bongs and rigs</a>.</p><h2>How to Use It</h2><p>Using the Rainbow Swirl Ash Catcher is as simple as adding one more piece to your normal setup. Slide the 14mm male joint of the ash catcher into the 14mm female joint on your bong so it sits at a clean 90° angle, then add your existing bowl piece to the top joint of the catcher (or whichever connection point your current bowl is made for).</p><p>When you pull, smoke and ash first travel into the ash catcher, where the debris drops and the smoke gets a quick wash before continuing into your main piece. That means most of the grime gets trapped in this small chamber instead of coating the inside of your bong. If you like to keep your table clean too, park your setup on a nonstick <a href=""https://oilslickpad.com/collections/dabbing"">dab mat</a> so any stray ash or water droplets don’t end up on your furniture.</p><p>Cleaning is straightforward: let everything cool, remove the ash catcher, empty any leftover water and ash, then soak or rinse with isopropyl alcohol, rinse with clean water, and dry before using again. Keeping the catcher clean regularly is what keeps your hits tasting fresh.</p><h2>Specs</h2><table>
<tr>
<th>Overall Length</th>
<td>3 inches (76mm)</td>
</tr>
<tr>
<th>Joint Size</th>
<td>14mm male</td>
</tr>
<tr>
<th>Joint Angle</th>
<td>90°</td>
</tr>
<tr>
<th>Material</th>
<td>Glass</td>
</tr>
</table><h2>Fit &amp; Compatibility</h2><p>This ash catcher is designed to plug directly into any piece with a 14mm female joint at a 90° angle. That’s a pretty standard setup for a lot of modern bongs and smaller rigs. As long as your joint is 14mm female and sits upright at 90° (not a 45° slanted joint), it should play nice.</p><p>Because it’s only 3"" (76mm), it doesn’t add a ton of weight or length, which is great for smaller water pipes that can get tippy with oversized accessories. If you’re rebuilding your kit from scratch, this pairs well with basic glass tubes and other daily-driver-level <a href=""https://oilslickpad.com/collections/smoke-shop-products"">smoke shop essentials</a>.</p><h2>The Basics: Why Ash Catchers Matter</h2><p>If you’ve ever looked at your bong and thought, “Did it really get this dirty after one night?”, this is the fix. An ash catcher acts like a pre-filter and pre-chamber. Instead of ash blasting straight into your water and sticking to every surface, it collects in this separate piece that you can pop off and clean in a couple minutes.</p><p>Function-wise, you’re adding a little extra path and sometimes a touch more water for the smoke to move through. That can tame harsher bowls and keep flavor cleaner over time because you’re not constantly pulling through old resin and spent ash stuck in your main chamber. It’s a small upgrade, but once you run an ash catcher for a while, going back to bare bong feels… messy.</p><h2>Care &amp; Cleaning Tips</h2><p>To keep the Rainbow Swirl Ash Catcher looking good and working right, give it a quick rinse every few uses instead of waiting until it’s totally caked. Let it cool, dump out the water and ash, then rinse. For deeper cleans, soak in isopropyl alcohol, rinse with warm water, and let it dry before you put it back into your setup.</p><p>If you’re someone who likes to keep all your gear in order, stash your bowls, screens, and lighters together with your ash catcher in a dedicated tray or small storage spot. A simple organizer or smell-proof container from our broader <a href=""https://oilslickpad.com/collections/storage-packaging"">storage and packaging</a> lineup can help keep your kit from turning into a junk drawer.</p><h2>FAQ</h2><ul>
<li>
<strong>Will this fit my bong?</strong><br>If your bong or rig has a 14mm female joint at a 90° angle, this ash catcher should fit right in. If your joint is 45° or a different size (like 18mm), this specific piece won’t be the right match.</li>
<li>
<strong>Does it make my piece tip over?</strong><br>Most likely not. At only 3"" (76mm), it’s compact and lighter than big percolated catchers, so it usually keeps your setup balanced. Just be mindful with super small or super thin glass pieces.</li>
<li>
<strong>Can I use this with a dab setup?</strong><br>This ash catcher is mainly designed for dry herb bowls, but some people do run them in mixed setups if joint sizes and angles line up. If you’re putting together a concentrate rig specifically, you may want to look at dedicated <a href=""https://oilslickpad.com/collections/dab-tools-dabbers"">dab tools</a> and accessories built for that kind of use.</li>
<li>
<strong>Is there any special way I should clean the rainbow design?</strong><br>No special tricks needed. Treat it like any other glass: let it cool, soak in isopropyl alcohol for a deeper clean, rinse thoroughly with water, and let dry. Avoid scratching it with hard brushes or abrasive pads.</li>
<li>
<strong>Do I need to add water to the ash catcher?</strong><br>Some people like to run a little water in their ash catcher, some prefer it dry depending on their piece and pull. Use it the way that gives you the draw you like; just remember extra water means you’ll want to empty and rinse it more often.</li>
<li>
<strong>Will this change how my bong hits?</strong><br>Yes, but in a good way for most people. You’re adding a bit more filtration and a small amount of drag. Most folks find it makes the hit feel smoother while keeping the main chamber cleaner, which usually keeps flavor fresher too.</li>
<li>
<strong>What else pairs well with this?</strong><br>A steady base (like a tray or pad), some backup bowls, and a good lighter or hemp wick will round out your kit. If you’re expanding your collection, this ash catcher looks especially good next to colorful spoons and other pieces in our <a href=""https://oilslickpad.com/collections/silicone-pipes"">silicone pipe</a> selection for a mix of glass and unbreakable gear.</li>
</ul>
<!-- WYN_METADATA
Categories_URL=https://wyndistribution.com/best-selling-products/, https://wyndistribution.com/product-category/essentials-and-accessories/, https://wyndistribution.com/product-category/essentials-and-accessories/ash-catchers/
URL=https://wyndistribution.com/wyn-shop/product/3-14-m-90-rainbow-swirl-ash-catcher/
Product_URL=https://wyndistribution.com/wyn-shop/product/3-14-m-90-rainbow-swirl-ash-catcher/
Category=ESSENTIALS & ACCESSORIES
Category_URL=https://wyndistribution.com/product-category/essentials-and-accessories/
Categories=Category: Ash Catchers
RawPrice=$15.00
-->",What You Need,,Essentials & Accessories,"family:ash-catcher, joint_angle:45, joint_gender:female, joint_size:14mm, length:3in, material:glass, pillar:accessory, style:animal, use:flower-smoking, use:setup-protection",true,Title,Default Title,,,,,,,,FGA1671,0.0,,deny,manual,15.00,,true,true,,,,,,https://wyndistribution.com/wp-content/uploads/2024/03/FGA1671-Display.png,1,3″ 14 M 90° RAINBOW SWIRL ASH CATCHER,false,3″ 14 M 90° RAINBOW SWIRL ASH CATCHER,3″ Glass Ash Catcher Vacstack Top and Bottom Rainbow Swirl Window 14 M 90°,,,,,,,,,,,,,,,,lb,,30.00,active
3-14-m-90-rainbow-swirl-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2024/03/FGA1671-Red.png,2,,,,,,,,,,,,,,,,,,,,,,,
3-14-m-90-rainbow-swirl-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2024/03/FGA1671-Spiral.png,3,,,,,,,,,,,,,,,,,,,,,,,
3-14-m-90-rainbow-swirl-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2024/03/FGA1671-Teal.png,4,,,,,,,,,,,,,,,,,,,,,,,
3-14-m-90-rainbow-swirl-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2024/03/FGA1671-Yellow.png,5,,,,,,,,,,,,,,,,,,,,,,,
3-14-m-90-rainbow-swirl-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2024/03/FGA1671-90-Degree.png,6,,,,,,,,,,,,,,,,,,,,,,,
